item_id,vertical,category,domain,score
634804445,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9386
571598250,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9384
565501744,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-AESTHETIC_TREATMENT_TABLES_AND_CHAIRS,0.9382
592974543,CE,COMPUTERS,MLC-ROUTERS_AND_WIRELESS_SYSTEMS,0.938
921238820,CE,MOBILE,MLC-CELLPHONES,0.9378
909395034,CE,ELECTRONICS,MLC-CAMERA_AND_CELLPHONE_STABILIZERS,0.9376
522562012,CE,ELECTRONICS,MLC-TELEVISIONS,0.9374
475498815,HOME & INDUSTRY,HOME&DECOR,MLC-POOL_FILTERS,0.9372
612247513,CE,MOBILE,MLC-CELLPHONES,0.937
582563561,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_OFFICE_DESKS,0.9368
924350444,CE,COMPUTERS,MLC-NOTEBOOKS,0.9366
621828429,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.9364
620778696,CE,MOBILE,MLC-CELLPHONES,0.9362
597791959,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILL_AND_SCREWDRIVER_BITS,0.936
615879554,CE,MOBILE,MLC-CELLPHONES,0.9358
909116938,CE,MOBILE,MLC-TABLETS,0.9354
601045497,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9352
634744295,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.935
607899297,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9348
479833074,BEAUTY & HEALTH,PERSONAL CARE,MLC-SKIN_CARE_SUPPLIES,0.9346
901157222,CE,ELECTRONICS,MLC-VR_HEADSETS,0.9344
916360021,CE,MOBILE,MLC-CELLPHONES,0.9168
555234685,CE,ELECTRONICS,MLC-TELEVISIONS,0.9342
914797076,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_SCREWDRIVERS,0.934
903985299,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9338
434964343,BEAUTY & HEALTH,PHARMACEUTICS,MLC-BLOOD_PRESSURE_MONITORS,0.9336
573370558,HOME & INDUSTRY,HOME&DECOR,MLC-MATTRESS_COVERS,0.9334
916460221,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.9332
487835291,T & B,BABY,MLC-BABY_MONITORS,0.933
920452178,CE,MOBILE,MLC-CELLPHONES,0.9328
474362419,CE,COMPUTERS,MLC-COMPUTER_VACUUM_CLEANERS,0.9326
621831019,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.9324
596777519,CE,MOBILE,MLC-CELLPHONES,0.9322
620542383,CE,COMPUTERS,MLC-MODEMS,0.932
544739258,APP & SPORTS,APPAREL ACCESORIES,MLC-BACKPACKS,0.9318
491240796,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-COMBUSTION_BRUSH_CUTTERS_AND_STRING_TRIMMERS,0.9316
611219753,CE,COMPUTERS,MLC-STYLUSES,0.9314
528557069,CE,COMPUTERS,MLC-GRAPHICS_TABLETS,0.9312
520012167,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-MITER_SAWS,0.931
641104174,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.9308
615323464,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9306
566515497,CPG,PERSONAL HYGIENE,MLC-TOOTHBRUSHES,0.8858
596431117,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9304
553215296,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-MASSAGE_EQUIPMENT,0.9302
639402587,CE,COMPUTERS,MLC-3D_PRINTERS,0.93
613555182,BEAUTY & HEALTH,PHARMACEUTICS,MLC-HUMIDIFIERS_AND_VAPORIZERS,0.9298
593441085,CE,COMPUTERS,MLC-COMPUTER_EQUIPMENT_AND_SPARE_PARTS,0.9296
523582389,OTHERS,PET PRODUCTS,MLC-ANIMAL_CLIPPERS,0.9294
905141421,HOME & INDUSTRY,INDUSTRY,MLC-SEWING_MACHINES,0.9292
634022322,CE,COMPUTERS,MLC-DESKTOP_COMPUTERS,0.929
605120286,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9288
535459029,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BODYWEIGHT_SCALES,0.9286
900523366,BEAUTY & HEALTH,PHARMACEUTICS,MLC-HEARING_AIDS,0.9284
584149463,HOME & INDUSTRY,HOME&DECOR,MLC-TABLE_AND_DESK_LAMPS,0.9282
569500779,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-KITCHEN_FAUCETS,0.928
